freq,unit,accident,geo\TIME_PERIOD	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,COLLIS,AT	2 	4 	3 	5 	3 	2 	1 	4 	1 	7 	7 	7 	4 	1 	2 	2 	3 	7 
A,NR,COLLIS,BE	84 	77 	94 	34 	5 	0 	3 	1 	3 	0 	2 	1 	0 	2 	1 	1 	0 	0 
A,NR,COLLIS,BG	0 	3 	3 	3 	2 	0 	3 	2 	4 	3 	3 	1 	1 	4 	1 	1 	2 	0 
A,NR,COLLIS,CH	: 	: 	: 	5 	5 	4 	4 	6 	0 	3 	2 	3 	3 	4 	4 	5 	6 	2 
A,NR,COLLIS,CHUNNEL	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,CZ	13 	3 	5 	5 	3 	6 	6 	5 	13 	14 	6 	11 	6 	7 	11 	12 	13 	15 
A,NR,COLLIS,DE	422 	15 	13 	16 	13 	18 	23 	29 	32 	40 	29 	38 	40 	33 	40 	24 	44 	42 
A,NR,COLLIS,DK	1 	0 	0 	1 	0 	1 	1 	0 	0 	3 	3 	2 	1 	2 	3 	0 	0 	0 
A,NR,COLLIS,EE	: 	0 	0 	0 	1 	0 	3 	0 	0 	0 	3 	4 	0 	0 	0 	0 	1 	3 
A,NR,COLLIS,EL	4 	3 	1 	2 	4 	1 	2 	2 	1 	2 	1 	1 	2 	1 	0 	1 	3 	1 
A,NR,COLLIS,ES	4 	4 	4 	1 	2 	4 	3 	5 	7 	3 	6 	5 	14 	9 	12 	10 	6 	14 
A,NR,COLLIS,EU27_2020	: 	: 	: 	: 	79 	70 	87 	80 	121 	123 	99 	102 	109 	103 	110 	97 	126 	139 
A,NR,COLLIS,FI	0 	0 	0 	0 	0 	2 	0 	0 	1 	0 	4 	0 	0 	1 	0 	0 	1 	5 
A,NR,COLLIS,FR	48 	85 	97 	7 	15 	12 	17 	10 	23 	27 	7 	7 	10 	20 	22 	24 	18 	17 
A,NR,COLLIS,HR	: 	: 	: 	: 	0 	0 	1 	0 	2 	0 	0 	1 	0 	1 	0 	1 	2 	1 
A,NR,COLLIS,HU	4 	5 	1 	0 	1 	0 	1 	2 	0 	2 	1 	5 	1 	3 	1 	1 	4 	4 
A,NR,COLLIS,IE	1 	0 	0 	1 	0 	0 	0 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,IT	5 	4 	2 	7 	2 	6 	7 	4 	9 	4 	4 	2 	6 	4 	4 	6 	6 	6 
A,NR,COLLIS,LT	1 	6 	1 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,LU	: 	: 	: 	0 	1 	0 	0 	0 	0 	0 	1 	1 	0 	0 	0 	0 	2 	0 
A,NR,COLLIS,LV	0 	0 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,COLLIS,ME	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,NR,COLLIS,MK	: 	: 	: 	1 	1 	0 	0 	1 	0 	1 	1 	0 	0 	: 	: 	: 	: 	: 
A,NR,COLLIS,NL	4 	4 	2 	2 	5 	4 	3 	3 	3 	8 	7 	2 	7 	2 	3 	4 	10 	5 
A,NR,COLLIS,NO	5 	4 	7 	6 	9 	15 	10 	17 	13 	10 	11 	10 	12 	16 	12 	17 	10 	24 
A,NR,COLLIS,PL	13 	6 	8 	4 	4 	8 	6 	6 	6 	3 	5 	10 	4 	3 	2 	1 	1 	4 
A,NR,COLLIS,PT	3 	3 	0 	0 	2 	1 	1 	1 	7 	1 	4 	0 	6 	3 	4 	5 	3 	3 
A,NR,COLLIS,RO	2 	0 	0 	2 	10 	1 	0 	1 	1 	1 	1 	0 	0 	1 	0 	1 	0 	3 
A,NR,COLLIS,SE	3 	1 	4 	1 	3 	2 	4 	2 	4 	3 	2 	2 	5 	4 	4 	3 	5 	6 
A,NR,COLLIS,SI	: 	0 	4 	1 	0 	1 	1 	0 	4 	1 	1 	1 	0 	0 	0 	0 	1 	0 
A,NR,COLLIS,SK	7 	14 	12 	6 	2 	1 	1 	2 	0 	0 	2 	1 	2 	2 	0 	0 	1 	3 
A,NR,COLLIS,TR	11 	7 	16 	5 	8 	8 	4 	2 	2 	4 	6 	2 	4 	: 	9 	10 	: 	: 
A,NR,COLLIS,UK	4 	12 	8 	17 	8 	3 	10 	21 	3 	1 	5 	12 	11 	10 	3 	: 	: 	: 
A,NR,DERAIL,AT	1 	3 	7 	1 	2 	2 	2 	1 	2 	5 	5 	5 	1 	3 	2 	0 	4 	6 
A,NR,DERAIL,BE	7 	17 	21 	41 	2 	3 	2 	4 	0 	1 	0 	2 	2 	1 	1 	1 	1 	1 
A,NR,DERAIL,BG	2 	1 	0 	0 	1 	1 	3 	2 	6 	6 	6 	5 	1 	4 	2 	6 	2 	1 
A,NR,DERAIL,CH	: 	: 	: 	0 	1 	1 	1 	3 	1 	1 	0 	3 	3 	3 	0 	0 	1 	1 
A,NR,DERAIL,CHUNNEL	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 
A,NR,DERAIL,CZ	10 	3 	2 	3 	3 	5 	6 	7 	9 	5 	2 	2 	5 	5 	5 	2 	2 	0 
A,NR,DERAIL,DE	52 	7 	12 	7 	19 	14 	11 	16 	9 	9 	3 	8 	7 	4 	11 	6 	7 	3 
A,NR,DERAIL,DK	0 	0 	0 	0 	1 	1 	1 	0 	1 	0 	0 	0 	0 	0 	0 	2 	2 	0 
A,NR,DERAIL,EE	: 	1 	2 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 
A,NR,DERAIL,EL	4 	8 	2 	2 	2 	0 	2 	0 	3 	2 	0 	4 	2 	0 	1 	1 	0 	0 
A,NR,DERAIL,ES	9 	12 	15 	7 	7 	7 	10 	11 	6 	6 	7 	10 	8 	10 	11 	8 	6 	16 
A,NR,DERAIL,EU27_2020	: 	: 	: 	: 	89 	85 	94 	100 	93 	72 	62 	89 	74 	73 	71 	80 	63 	70 
A,NR,DERAIL,FI	0 	0 	1 	2 	1 	0 	3 	3 	1 	0 	1 	0 	0 	1 	1 	2 	0 	2 
A,NR,DERAIL,FR	42 	68 	97 	14 	14 	11 	13 	11 	15 	11 	5 	8 	7 	6 	8 	14 	8 	8 
A,NR,DERAIL,HR	: 	: 	: 	: 	0 	1 	1 	5 	2 	0 	2 	2 	2 	2 	0 	2 	2 	3 
A,NR,DERAIL,HU	16 	7 	1 	1 	1 	1 	3 	4 	5 	6 	2 	10 	8 	4 	2 	4 	1 	3 
A,NR,DERAIL,IE	0 	0 	1 	0 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
A,NR,DERAIL,IT	11 	10 	10 	6 	3 	3 	5 	6 	4 	3 	2 	5 	8 	5 	8 	2 	3 	2 
A,NR,DERAIL,LT	7 	27 	1 	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
A,NR,DERAIL,LU	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,DERAIL,LV	1 	0 	0 	0 	0 	1 	1 	2 	1 	0 	0 	1 	0 	0 	0 	0 	1 	0 
A,NR,DERAIL,ME	: 	: 	: 	: 	: 	: 	: 	3 	1 	0 	2 	: 	: 	: 	: 	: 	: 	: 
A,NR,DERAIL,MK	: 	: 	: 	22 	28 	12 	25 	11 	11 	23 	16 	23 	17 	: 	: 	: 	: 	: 
A,NR,DERAIL,NL	2 	0 	1 	2 	3 	1 	0 	1 	1 	1 	0 	1 	0 	0 	1 	1 	0 	0 
A,NR,DERAIL,NO	3 	0 	3 	4 	4 	4 	4 	5 	6 	3 	2 	3 	5 	4 	6 	3 	2 	3 
A,NR,DERAIL,PL	126 	132 	105 	12 	17 	23 	17 	13 	13 	9 	16 	12 	8 	16 	3 	14 	6 	11 
A,NR,DERAIL,PT	9 	3 	3 	1 	3 	2 	0 	4 	3 	3 	5 	3 	4 	0 	3 	3 	5 	2 
A,NR,DERAIL,RO	0 	0 	1 	1 	0 	1 	0 	0 	0 	0 	0 	2 	1 	0 	2 	2 	2 	0 
A,NR,DERAIL,SE	5 	11 	14 	7 	7 	7 	10 	9 	10 	3 	3 	4 	7 	7 	6 	5 	5 	4 
A,NR,DERAIL,SI	3 	5 	0 	0 	0 	0 	1 	1 	1 	0 	1 	3 	0 	3 	0 	2 	2 	7 
A,NR,DERAIL,SK	8 	11 	6 	3 	1 	1 	2 	0 	1 	2 	1 	1 	3 	2 	3 	3 	4 	1 
A,NR,DERAIL,TR	96 	89 	104 	63 	52 	51 	32 	22 	10 	28 	23 	8 	6 	: 	22 	26 	: 	: 
A,NR,DERAIL,UK	22 	20 	14 	12 	6 	6 	3 	8 	11 	5 	6 	10 	1 	0 	1 	: 	: 	: 
A,NR,LVLCROS,AT	40 	55 	36 	36 	33 	43 	36 	37 	27 	33 	31 	26 	19 	24 	19 	19 	33 	21 
A,NR,LVLCROS,BE	56 	76 	56 	31 	17 	16 	18 	13 	21 	14 	12 	12 	15 	15 	13 	15 	14 	13 
A,NR,LVLCROS,BG	10 	10 	9 	5 	10 	7 	15 	11 	11 	6 	5 	11 	5 	7 	9 	8 	10 	11 
A,NR,LVLCROS,CH	: 	: 	: 	7 	6 	4 	8 	3 	4 	4 	3 	1 	2 	1 	1 	6 	3 	2 
A,NR,LVLCROS,CHUNNEL	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,LVLCROS,CZ	104 	48 	53 	42 	57 	34 	47 	36 	46 	36 	34 	36 	47 	46 	44 	44 	43 	40 
A,NR,LVLCROS,DE	181 	97 	76 	64 	73 	56 	79 	59 	67 	61 	50 	73 	66 	55 	48 	53 	76 	51 
A,NR,LVLCROS,DK	8 	5 	4 	2 	9 	2 	5 	5 	5 	2 	2 	2 	3 	1 	0 	2 	1 	2 
A,NR,LVLCROS,EE	: 	33 	12 	7 	17 	15 	10 	11 	5 	10 	8 	13 	17 	4 	2 	6 	11 	11 
A,NR,LVLCROS,EL	25 	22 	17 	26 	16 	8 	6 	5 	10 	11 	1 	5 	7 	7 	2 	7 	5 	3 
A,NR,LVLCROS,ES	13 	19 	18 	19 	11 	8 	8 	11 	10 	8 	10 	12 	10 	3 	6 	6 	11 	17 
A,NR,LVLCROS,EU27_2020	: 	: 	: 	: 	585 	506 	563 	498 	495 	465 	424 	456 	442 	432 	350 	428 	412 	399 
A,NR,LVLCROS,FI	9 	11 	9 	12 	9 	5 	11 	4 	4 	10 	6 	7 	7 	6 	5 	13 	5 	6 
A,NR,LVLCROS,FR	140 	115 	115 	49 	36 	40 	38 	42 	51 	41 	48 	41 	26 	38 	22 	42 	28 	47 
A,NR,LVLCROS,HR	: 	: 	: 	: 	12 	18 	18 	13 	6 	11 	5 	10 	12 	11 	8 	12 	9 	6 
A,NR,LVLCROS,HU	104 	54 	44 	39 	42 	38 	37 	35 	28 	33 	27 	33 	33 	37 	41 	34 	24 	14 
A,NR,LVLCROS,IE	0 	2 	1 	1 	2 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
A,NR,LVLCROS,IT	38 	23 	16 	7 	15 	18 	13 	14 	16 	19 	15 	12 	3 	5 	8 	7 	16 	7 
A,NR,LVLCROS,LT	21 	13 	19 	14 	6 	6 	4 	4 	5 	3 	6 	2 	3 	0 	1 	0 	2 	0 
A,NR,LVLCROS,LU	: 	: 	: 	5 	2 	0 	0 	2 	0 	0 	1 	0 	2 	0 	0 	1 	1 	1 
A,NR,LVLCROS,LV	10 	9 	10 	8 	10 	8 	6 	2 	3 	5 	3 	7 	9 	7 	1 	1 	4 	0 
A,NR,LVLCROS,ME	: 	: 	: 	: 	: 	: 	: 	5 	2 	0 	5 	: 	: 	: 	: 	: 	: 	: 
A,NR,LVLCROS,MK	: 	: 	: 	14 	9 	5 	6 	20 	19 	6 	14 	1 	3 	: 	: 	: 	: 	: 
A,NR,LVLCROS,NL	12 	26 	21 	13 	9 	14 	19 	21 	13 	12 	7 	11 	13 	14 	10 	13 	8 	10 
A,NR,LVLCROS,NO	2 	2 	0 	2 	3 	2 	2 	3 	2 	3 	0 	2 	3 	1 	2 	1 	3 	4 
A,NR,LVLCROS,PL	275 	325 	278 	98 	86 	86 	77 	75 	65 	74 	76 	57 	64 	68 	54 	64 	58 	61 
A,NR,LVLCROS,PT	22 	27 	20 	15 	14 	7 	11 	12 	9 	6 	8 	7 	7 	16 	10 	10 	6 	13 
A,NR,LVLCROS,RO	87 	91 	86 	57 	58 	43 	59 	44 	50 	29 	42 	43 	34 	37 	22 	34 	23 	24 
A,NR,LVLCROS,SE	16 	14 	6 	13 	14 	7 	11 	13 	13 	9 	7 	16 	10 	8 	6 	9 	7 	19 
A,NR,LVLCROS,SI	41 	32 	41 	11 	16 	6 	8 	11 	9 	10 	8 	6 	9 	7 	5 	7 	6 	6 
A,NR,LVLCROS,SK	68 	71 	63 	51 	11 	21 	27 	18 	20 	22 	12 	14 	20 	16 	14 	21 	11 	16 
A,NR,LVLCROS,TR	157 	139 	118 	85 	46 	42 	44 	33 	41 	27 	51 	23 	23 	: 	17 	13 	: 	: 
A,NR,LVLCROS,UK	9 	14 	23 	16 	7 	11 	10 	12 	11 	3 	10 	10 	5 	5 	4 	: 	: 	: 
A,NR,OTH,AT	7 	14 	16 	8 	12 	7 	5 	2 	1 	4 	3 	0 	0 	3 	3 	1 	0 	1 
A,NR,OTH,BE	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 	1 	0 	0 	1 	0 	2 	0 
A,NR,OTH,BG	6 	0 	0 	0 	6 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,OTH,CH	: 	: 	: 	9 	9 	9 	7 	9 	7 	4 	5 	10 	9 	5 	7 	11 	6 	16 
A,NR,OTH,CHUNNEL	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 
A,NR,OTH,CZ	2 	1 	0 	0 	1 	2 	0 	6 	5 	8 	5 	7 	6 	5 	4 	5 	14 	8 
A,NR,OTH,DE	14 	14 	29 	18 	24 	18 	24 	35 	38 	36 	39 	29 	24 	31 	35 	21 	37 	35 
A,NR,OTH,DK	4 	2 	0 	5 	1 	1 	2 	3 	2 	2 	2 	0 	0 	0 	1 	0 	1 	2 
A,NR,OTH,EE	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	1 	0 	0 	0 	0 	0 
A,NR,OTH,EL	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	1 	1 	0 	0 	1 	0 	0 	0 
A,NR,OTH,ES	0 	0 	0 	2 	1 	0 	1 	0 	0 	1 	0 	3 	2 	3 	2 	3 	3 	7 
A,NR,OTH,EU27_2020	: 	: 	: 	: 	111 	74 	78 	76 	100 	85 	82 	76 	69 	96 	107 	96 	96 	96 
A,NR,OTH,FI	3 	0 	3 	2 	3 	0 	2 	1 	1 	1 	3 	4 	3 	4 	2 	6 	2 	5 
A,NR,OTH,FR	65 	31 	63 	21 	20 	13 	15 	11 	23 	10 	3 	8 	7 	7 	5 	5 	13 	11 
A,NR,OTH,HR	: 	: 	: 	: 	5 	3 	2 	1 	2 	0 	1 	2 	1 	0 	2 	1 	1 	0 
A,NR,OTH,HU	40 	1 	30 	3 	2 	4 	4 	11 	13 	7 	8 	5 	4 	19 	23 	21 	6 	0 
A,NR,OTH,IE	1 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 
A,NR,OTH,IT	5 	3 	3 	7 	3 	2 	1 	1 	6 	2 	5 	7 	6 	6 	13 	14 	6 	9 
A,NR,OTH,LT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,OTH,LU	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,OTH,LV	0 	5 	5 	2 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
